City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Port Alfred,-33.5906,26.891,69.71,74,96,16.46,ZA,overcast clouds
80,Touros,-5.1989,-35.4608,81.5,75,61,13.33,BR,broken clouds
81,Vagur,61.4732,-6.8119,37.45,63,83,42.08,FO,broken clouds
82,Vardo,70.3705,31.1107,26.62,63,100,13.06,NO,light snow
83,Marsa Matruh,31.3525,27.2453,55.22,73,97,30.87,EG,overcast clouds
84,Kodiak,57.79,-152.4072,40.51,87,100,6.91,US,mist
85,Severo-Kurilsk,50.6789,156.125,31.33,88,100,10.8,RU,light snow
86,Lavrentiya,65.5833,-171.0,-0.15,60,0,20.49,RU,clear sky
87,Vao,-22.6667,167.4833,75.33,92,100,4.54,NC,overcast clouds
88,Mzimba,-11.9,33.6,62.76,96,100,3.47,MW,light rain
89,Jamestown,42.097,-79.2353,23.09,69,100,5.99,US,snow
90,Qaanaaq,77.484,-69.3632,-14.31,56,98,8.25,GL,overcast clouds
91,La Ronge,55.1001,-105.2842,-12.75,70,0,10.36,CA,clear sky
92,Waipawa,-41.4122,175.5153,74.03,41,97,7.14,NZ,overcast clouds
93,Sulingen,52.6833,8.8,44.04,87,100,12.55,DE,overcast clouds
94,Butembo,0.15,29.2833,59.18,68,79,1.63,CD,broken clouds
95,Bredasdorp,-34.5322,20.0403,61.92,67,100,4.61,ZA,overcast clouds
96,Gornopravdinsk,60.05,69.9,23.83,94,100,8.95,RU,light snow
97,Lukovetskiy,64.2956,41.9211,4.98,99,91,0.78,RU,overcast clouds
98,Tsiroanomandidy,-18.7667,46.0333,67.39,92,98,2.57,MG,overcast clouds
99,Ponta Do Sol,32.6667,-17.1,66.0,73,37,4.36,PT,scattered clouds
100,Kudahuvadhoo,2.6708,72.8944,80.98,72,2,10.76,MV,clear sky
101,Roma,43.2128,-75.4557,30.96,91,100,5.75,US,snow
102,Yarada,17.65,83.2667,70.12,94,40,2.3,IN,mist
103,New Norfolk,-42.7826,147.0587,69.91,34,1,3.0,AU,clear sky
104,Yellowknife,62.456,-114.3525,-26.45,68,0,5.75,CA,clear sky
105,Tasiilaq,65.6145,-37.6368,4.78,62,96,6.69,GL,overcast clouds
106,Hays,30.0502,-98.0336,25.63,84,62,4.0,US,broken clouds
107,Amapa,1.0,-52.0,72.7,97,100,3.47,BR,light rain
108,Novo Horizonte,-21.4681,-49.2208,71.83,89,100,3.83,BR,moderate rain
109,Mata,40.683,-7.4592,44.76,91,100,3.09,PT,overcast clouds
110,Norman Wells,65.282,-126.8329,-36.81,100,17,2.39,CA,few clouds
111,Esperance,-33.8667,121.9,76.77,48,2,9.08,AU,clear sky
112,Malanje,-9.5402,16.341,62.51,92,100,1.48,AO,light rain
113,Airai,-8.9266,125.4092,71.64,67,77,4.41,TL,broken clouds
114,Ongandjera,-17.8833,15.0667,71.4,46,52,10.2,NA,broken clouds
