City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Zhaotong,CN,2022-02-02 22:55:23,27.3167,103.7167,24.46,88,85,1.81
68,Doha,QA,2022-02-02 22:55:24,25.2867,51.5333,60.78,72,0,8.05
69,Cidreira,BR,2022-02-02 22:55:25,-30.1811,-50.2056,75.67,84,0,19.15
70,College,US,2022-02-02 22:52:15,64.8569,-147.8028,-1.1,69,20,0.0
71,Lebu,CL,2022-02-02 22:55:25,-37.6167,-73.65,62.28,83,50,11.03
72,Hermanus,ZA,2022-02-02 22:55:27,-34.4187,19.2345,65.89,87,4,12.1
73,Clyde River,CA,2022-02-02 22:50:54,70.4692,-68.5914,-16.37,76,100,6.91
74,Fairbanks,US,2022-02-02 22:45:02,64.8378,-147.7164,-23.84,76,20,0.0
75,Port Elizabeth,ZA,2022-02-02 22:55:28,-33.918,25.5701,71.1,100,75,8.05
76,Quatre Cocos,MU,2022-02-02 22:48:05,-20.2078,57.7625,80.1,89,100,30.56
77,Provideniya,RU,2022-02-02 22:55:29,64.3833,-173.3,10.51,72,75,35.79
78,Khatanga,RU,2022-02-02 22:55:31,71.9667,102.5,-36.31,98,51,2.13
79,Bambous Virieux,MU,2022-02-02 22:52:51,-20.3428,57.7575,80.22,94,75,31.07
80,Awjilah,LY,2022-02-02 22:53:21,29.1081,21.2869,52.21,59,51,18.7
81,Tuktoyaktuk,CA,2022-02-02 22:55:32,69.4541,-133.0374,-22.0,76,75,13.8
82,Norman Wells,CA,2022-02-02 22:51:53,65.282,-126.8329,-21.96,69,75,13.8
83,Bengkulu,ID,2022-02-02 22:48:11,-3.8004,102.2655,76.14,88,95,4.97
84,Macon,US,2022-02-02 22:55:32,39.8667,-88.9668,19.87,93,100,21.85
85,Dikson,RU,2022-02-02 22:45:22,73.5069,80.5464,-8.01,98,93,10.04
86,Galveston,US,2022-02-02 22:54:17,29.3669,-94.9669,71.22,93,100,1.01
87,Andenes,NO,2022-02-02 22:55:33,69.3143,16.1194,22.98,63,33,18.41
88,Okhotsk,RU,2022-02-02 22:55:34,59.3833,143.3,7.25,76,100,14.81
89,Cabo San Lucas,MX,2022-02-02 22:53:23,22.8909,-109.9124,75.51,69,27,3.0
90,Colorado,BR,2022-02-02 22:55:34,-22.8375,-51.9731,72.28,93,92,6.8
91,Cape Town,ZA,2022-02-02 22:53:34,-33.9258,18.4232,66.11,91,40,1.01
92,Beaufort,MY,2022-02-02 22:55:35,5.3473,115.7455,77.16,93,43,3.22
