City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
291,Axim,GH,78.87,few clouds,4.8699,-2.2405,Axim Beach Resort And Spa
292,Celestun,MX,76.39,clear sky,20.8667,-90.4,Posada Lilia
295,Balikpapan,ID,76.19,few clouds,-1.2675,116.8289,ibis Balikpapan
306,Caravelas,BR,77.09,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
312,Sai Buri,TH,76.96,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
313,Peruibe,BR,75.96,overcast clouds,-24.32,-46.9983,Hotel Pousada Xapuri
318,Manta,EC,82.18,scattered clouds,-0.95,-80.7333,Balandra Hotel
319,Kavieng,PG,83.19,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
328,Phetchaburi,TH,78.3,scattered clouds,12.9667,99.5833,ไร่แม่คะเมยฮิลล์ แก่งกระจาน เพชรบุรี
341,Kulhudhuffushi,MV,81.01,broken clouds,6.6221,73.07,Haajy Guest House 1
342,Mersing,MY,80.51,overcast clouds,2.4312,103.8405,Timotel Hotel
348,Mtwara,TZ,77.34,moderate rain,-10.2667,40.1833,TIL Hotels Mtwara
360,Bambous Virieux,MU,79.21,light rain,-20.3428,57.7575,Casa Tia Villa
361,Isangel,VU,78.91,moderate rain,-19.55,169.2667,Tanna Lodge
365,Karratha,AU,85.17,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
370,Luganville,VU,79.84,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
374,Kaeo,NZ,75.33,overcast clouds,-35.1,173.7833,Bushido Lodge
375,Quatre Cocos,MU,79.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
376,Banda Aceh,ID,77.79,overcast clouds,5.5577,95.3222,Sulthan Hotel International
379,Arawa,PG,85.3,overcast clouds,-6.2132,155.5367,Coastline Guest House
381,Carlagan,PH,77.54,broken clouds,14.975,122.0456,Cabatagan Island
385,Rosamorada,MX,81.52,clear sky,22.1222,-105.2058,Hotel Gonzalez
388,Charters Towers,AU,77.94,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
397,Farafangana,MG,77.61,moderate rain,-22.8167,47.8333,Miarina
398,Mont-Dore,NC,87.78,overcast clouds,-22.2833,166.5833,GIte
406,Antalaha,MG,75.96,light rain,-14.9003,50.2788,Hotel Vitasoa
410,Cururupu,BR,75.49,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
412,Buala,SB,83.14,light rain,-8.145,159.5921,Maringe Lagoon Lodge
414,Angoche,MZ,76.98,overcast clouds,-16.2325,39.9086,Guest House HESADA
417,Grand Gaube,MU,79.38,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
419,Kantunilkin,MX,83.95,few clouds,21.0917,-87.45,Posada Paraiso
420,Honiara,SB,84.2,overcast clouds,-9.4333,159.95,Heritage Park Hotel
422,Vao,NC,80.38,light rain,-22.6667,167.4833,Hotel Kou-Bugny
424,Cabedelo,BR,81.27,few clouds,-6.9811,-34.8339,Hotel Pigalle
430,Atambua,ID,75.72,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
431,Sorong,ID,82.31,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
432,Kiunga,PG,77.9,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
435,Pochutla,MX,87.82,few clouds,15.7432,-96.4661,Hotel Posada San Jose
436,Crixas,BR,76.39,broken clouds,-14.5489,-49.9692,RISO HOTEL
455,Samana,DO,78.76,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
460,Tamandare,BR,79.12,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
464,Bowen,AU,79.02,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
